mid,uid,content,time,clean_text,tokens,token_str,emo_label_0,emo_label_1,emo_label_2,emo_label_3,emo_label_4,emo_label_5,emo_label_6,emo_label_7
5130727471450874,5579823481,"婚后发现自己不想生孩子怎么办？
#年轻人恐婚恐育的真正原因是什么#",02月05日 16:30,婚后发现自己不想生孩子怎么办 年轻人恐婚恐育的真正原因是什么,"['婚后', '发现自己', '不想', '孩子', '怎么办', '年轻人', '恐婚', '恐育', '真正', '原因', '什么']",婚后 发现自己 不想 孩子 怎么办 年轻人 恐婚 恐育 真正 原因 什么,0.1291683,0.13774297,0.008935642,0.047835305,0.38172394,0.22941875,0.05038739,0.014787689
5130626539194705,5028050167,"恐惧结婚
#年轻人恐婚恐育的真正原因是什么#",02月05日 09:49,恐惧结婚 年轻人恐婚恐育的真正原因是什么,"['恐惧', '婚姻', '年轻人', '恐婚', '恐育', '真正', '原因', '什么']",恐惧 婚姻 年轻人 恐婚 恐育 真正 原因 什么,0.4040567,0.21686506,0.007847606,0.017548764,0.22944419,0.07372834,0.035491638,0.015017824
5093799912803980,1724126567,"心情不太好，写写关于恐育的一些想法。
有人爱生那就多生，但不要劝生催生。
不要把个人意志强加于别人，尊重理解祝福。
#年轻人恐婚恐育的真正原因是什么#",2024年10月26日 18:53,心情不太好 写写关于恐育的一些想法 有人爱生那就多生 但不要劝生催生 不要把个人意志强加于别人 尊重理解祝福 年轻人恐婚恐育的真正原因是什么,"['心情', '不太好', '写写', '关于', '恐育', '一些', '想法', '有人', '爱生', '多生', '不要', '劝生', '催生', '不要', '个人', '意志', '强加于', '别人', '尊重', '理解', '祝福', '年轻人', '恐婚', '恐育', '真正', '原因', '什么']",心情 不太好 写写 关于 恐育 一些 想法 有人 爱生 多生 不要 劝生 催生 不要 个人 意志 强加于 别人 尊重 理解 祝福 年轻人 恐婚 恐育 真正 原因 什么,0.0048153503,0.9796203,0.002640029,0.002453593,0.0038691724,0.002441545,0.0015276037,0.0026324652
5090609318073100,5895897584,"我怎么会接受两代人掌心向上的日子
#年轻人恐婚恐育的真正原因是什么#",2024年10月17日 23:35,我怎么会接受两代人掌心向上的日子 年轻人恐婚恐育的真正原因是什么,"['怎么', '接受', '两代', '掌心', '向上', '日子', '年轻人', '恐婚', '恐育', '真正', '原因', '什么']",怎么 接受 两代 掌心 向上 日子 年轻人 恐婚 恐育 真正 原因 什么,0.02079703,0.027245536,0.0054585943,0.04130053,0.85196936,0.023138322,0.02040604,0.009684608
5066170280184306,7648209024,"坐在亲戚孩子的满月宴上，同桌的叔叔喝的酒气熏天。孩子抱来了，他左抱右抱，好像很喜欢。
妈妈回头跟我说，“小孩子可爱吧？”。可我看着对面，满脑子想着：他抱的这样不稳，摔下来怎么办？喝过酒怎么可以亲在小孩的脸上！
“生命”真的是看似轻飘飘的两个字。
#年轻人恐婚恐育的真正原因是什么#",2024年08月11日 13:03,坐在亲戚孩子的满月宴上 同桌的叔叔喝的酒气熏天 孩子抱来了 他左抱右抱 好像很喜欢 妈妈回头跟我说 小孩子可爱吧 可我看着对面 满脑子想着 他抱的这样不稳 摔下来怎么办 喝过酒怎么可以亲在小孩的脸上 生命 真的是看似轻飘飘的两个字 年轻人恐婚恐育的真正原因是什么,"['坐在', '亲戚', '孩子', '满月', '宴上', '同桌', '叔叔', '酒气熏天', '孩子', '抱来', '好像', '喜欢', '妈妈', '回头', '小孩子', '可爱', '看着', '对面', '满脑子', '想着', '这样', '摔下来', '怎么办', '喝过', '怎么', '可以', '小孩', '脸上', '生命', '真的', '看似', '轻飘飘', '两个', '年轻人', '恐婚', '恐育', '真正', '原因', '什么']",坐在 亲戚 孩子 满月 宴上 同桌 叔叔 酒气熏天 孩子 抱来 好像 喜欢 妈妈 回头 小孩子 可爱 看着 对面 满脑子 想着 这样 摔下来 怎么办 喝过 怎么 可以 小孩 脸上 生命 真的 看似 轻飘飘 两个 年轻人 恐婚 恐育 真正 原因 什么,0.2779326,0.19640152,0.017282892,0.06187396,0.25237477,0.059000265,0.03478018,0.10035379
5048741024762773,5518581583,"如果你：
☑️想成为父母，又怕成为父母
☑️怕当不好父母，又怕失去了自己
☑️鸡娃卷孩子，怕让孩子失去了诗和远方
☑️让孩子躺平，又怕让TA失去了选择权
快来参加Karan的1v1免费用户访谈，我们一起温柔注视生命，寻找教育的旷野，成为更坚定的自己～～
招募详情见海报⬇️
#新手父母#
#年轻人恐婚恐育的真正原因是什么#
#树洞#
#家庭教育#",2024年06月24日 10:45,如果你 想成为父母 又怕成为父母 怕当不好父母 又怕失去了自己 鸡娃卷孩子 怕让孩子失去了诗和远方 让孩子躺平 又怕让TA失去了选择权 快来参加Karan的1v1免费用户访谈 我们一起温柔注视生命 寻找教育的旷野 成为更坚定的自己 招募详情见海报 新手父母 年轻人恐婚恐育的真正原因是什么 树洞 家庭教育,"['如果', '成为', '父母', '成为', '父母', '不好', '父母', '失去', '自己', '鸡娃卷', '孩子', '孩子', '失去', '远方', '孩子', '躺平', 'TA', '失去', '选择权', '参加', 'Karan', '1v1', '免费', '用户', '访谈', '我们', '一起', '温柔', '注视', '生命', '寻找', '教育', '旷野', '成为', '坚定', '自己', '招募', '详情', '海报', '新手', '父母', '年轻人', '恐婚', '恐育', '真正', '原因', '什么', '树洞', '家庭教育']",如果 成为 父母 成为 父母 不好 父母 失去 自己 鸡娃卷 孩子 孩子 失去 远方 孩子 躺平 TA 失去 选择权 参加 Karan 1v1 免费 用户 访谈 我们 一起 温柔 注视 生命 寻找 教育 旷野 成为 坚定 自己 招募 详情 海报 新手 父母 年轻人 恐婚 恐育 真正 原因 什么 树洞 家庭教育,0.24211028,0.49983913,0.015790287,0.019170184,0.14703095,0.02451123,0.02440622,0.02714174
5021372265535121,7329247760,"#年轻人恐婚恐育的真正原因是什么#

楼下小宝宝力气好大 喜欢我家修勾直接抱走
不过她一闹是真难哄 感恩我爸妈给我养长大",2024年04月09日 22:11,年轻人恐婚恐育的真正原因是什么 楼下小宝宝力气好大 喜欢我家修勾直接抱走 不过她一闹是真难哄 感恩我爸妈给我养长大,"['年轻人', '恐婚', '恐育', '真正', '原因', '什么', '楼下', '小宝宝', '力气', '好大', '喜欢', '我家', '修勾', '直接', '不过', '一闹', '真难', '感恩', '爸妈', '我养', '长大']",年轻人 恐婚 恐育 真正 原因 什么 楼下 小宝宝 力气 好大 喜欢 我家 修勾 直接 不过 一闹 真难 感恩 爸妈 我养 长大,0.35560668,0.11520604,0.25140715,0.031258736,0.06720042,0.027977526,0.06271836,0.08862505
5021312336269178,2203732124,"I hate kids😠
×3000000000
#熊孩子有多令人讨厌#
#熊孩子#
#年轻人恐婚恐育的真正原因是什么#

2
澳大利亚·Melbourne International Airport

L
野生小叽薇的微博视频",2024年04月09日 18:13,I hate kids 3000000000 熊孩子有多令人讨厌 熊孩子 年轻人恐婚恐育的真正原因是什么 2 澳大利亚 Melbourne International Airport L 野生小叽薇的微博视频,"['hate', 'kids', '3000000000', '孩子', '令人讨厌', '孩子', '年轻人', '恐婚', '恐育', '真正', '原因', '什么', '澳大利亚', 'Melbourne', 'International', 'Airport', '野生', '小叽薇', '微博', '视频']",hate kids 3000000000 孩子 令人讨厌 孩子 年轻人 恐婚 恐育 真正 原因 什么 澳大利亚 Melbourne International Airport 野生 小叽薇 微博 视频,0.013551595,0.00464526,0.0033265369,0.14684576,0.007915948,0.004456015,0.0022596577,0.8169993
5013041773023158,5705737694,"人为什么要结婚生孩子？
答：每个人都有她应得的报应。
#年轻人恐婚恐育的真正原因是什么#",2024年03月17日 22:29,人为什么要结婚生孩子 答 每个人都有她应得的报应 年轻人恐婚恐育的真正原因是什么,"['为什么', '婚姻', '孩子', '每个', '应得', '报应', '年轻人', '恐婚', '恐育', '真正', '原因', '什么']",为什么 婚姻 孩子 每个 应得 报应 年轻人 恐婚 恐育 真正 原因 什么,0.065845825,0.37845242,0.019636823,0.16009504,0.110527165,0.1985153,0.03301591,0.033911474
5004680890156367,6031889829,"这人啊…
真的要结婚吗？
真的要向现实妥协吗？
真的要过自己不想过的生活吗？
#年轻人恐婚恐育的真正原因是什么#",2024年02月23日 20:46,这人啊 真的要结婚吗 真的要向现实妥协吗 真的要过自己不想过的生活吗 年轻人恐婚恐育的真正原因是什么,"['这人', '真的', '婚姻', '真的', '现实', '妥协', '真的', '自己', '不想', '生活', '年轻人', '恐婚', '恐育', '真正', '原因', '什么']",这人 真的 婚姻 真的 现实 妥协 真的 自己 不想 生活 年轻人 恐婚 恐育 真正 原因 什么,0.0065442165,0.034232788,0.0015080711,0.0043769446,0.0019109214,0.9401463,0.010319251,0.0009614733
